"NG1.genes.results","NG2.genes.results","NG3.genes.results","RPM1.genes.results","RPM2.genes.results","RPM3.genes.results"
"ENSMUSG00000002814",312,252,318,222,267,241
"ENSMUSG00000002820",390.1,353.01,308,553.03,631.7,553.48
"ENSMUSG00000002825",217,289,259,158,154,119
"ENSMUSG00000002831",1,0,0,2,1,1
"ENSMUSG00000002833",721,739,688,668,800,663
"ENSMUSG00000002835",57.25,66.26,59.43,36.14,64.39,36.15
"ENSMUSG00000002844",1043,1112,1046,1467.16,1239,1118
"ENSMUSG00000002845",1386,2249,1226,2866,1021,1672
"ENSMUSG00000002846",448,376.59,412.76,714.9,609.01,609
"ENSMUSG00000002847",81,58,86,79,221,165
"ENSMUSG00000002870",47,152,93,95,98,64
"ENSMUSG00000002871",514,459,599,705,758,630
"ENSMUSG00000002881",453,289,333,1745,1498,1813
"ENSMUSG00000002885",13,31.82,21.83,23.64,70.23,42.65
"ENSMUSG00000002897",525,361,467,671,1627,1199
"ENSMUSG00000002900",1,0,0,10,15,11
"ENSMUSG00000002908",180,130,162,67,116,85
"ENSMUSG00000002910",612,549,750,234,295,220
"ENSMUSG00000002930",0,0,0,0,0,0
"ENSMUSG00000002944",3794,1651,2557,3660,11171,9613
"ENSMUSG00000002948",2406.91,2244.76,2267.75,1680.94,1720.87,1683.5
"ENSMUSG00000002949",982,891,894,915,1023,952
"ENSMUSG00000002957",2186,2295,1815,4603,3432,3519
"ENSMUSG00000002963",884,814,814,707,811,686
"ENSMUSG00000002968",1364,1492,1618,1020,1143,943
"ENSMUSG00000002980",24,24,24,4,15,10
"ENSMUSG00000002981",4109,4414,4145,3240,3629,3166
"ENSMUSG00000002983",354,339,375,260,188,196
"ENSMUSG00000002984",608,633,632,904,1030,877
"ENSMUSG00000002985",14,21,22,40,55,41
"ENSMUSG00000002992",1,1,1,0,7,5
"ENSMUSG00000002996",2366.59,2216.03,2061.86,3055.45,2802.88,2995.03
"ENSMUSG00000002997",207,89,118,1862,2005,2114
"ENSMUSG00000003031",2430,1863,1935,2399,2191,2669
"ENSMUSG00000003032",1673,1607,1836,591,955,795
"ENSMUSG00000003033",936,1055,901,1083,1030,943
"ENSMUSG00000003037",1476.11,1197.24,1258,1651,1670,1502
"ENSMUSG00000003038",304.08,452.82,351.38,738.82,531.8,493.31
"ENSMUSG00000003039",916,813,887,1584,1565,1447
"ENSMUSG00000003051",1,1,3,0,1,0
"ENSMUSG00000003053",0,0,0,0,0,0
"ENSMUSG00000003062",448,503,347,1646,978,1191
"ENSMUSG00000003068",2233.61,2932.65,2050.7,2521.02,2805.54,2393.14
"ENSMUSG00000003070",33,15,41,66,95,69
"ENSMUSG00000003072",9330,9244,10895,4774,5862,4413
"ENSMUSG00000003099",1258,1300,1347,1007,1118,986
"ENSMUSG00000003119",487,427,421,915,644,818
"ENSMUSG00000003123",281,203,269,140,234,188
"ENSMUSG00000003131",2707,2561,2074,3974,3374,3870
"ENSMUSG00000003134",22.01,14.01,16.01,35.03,54.04,34.02
"ENSMUSG00000003135",474,449,461,594,651,578
"ENSMUSG00000003153",927,482,580,761,955,916
"ENSMUSG00000003154",1032,929,1033,998,1169,1113
"ENSMUSG00000003161",868,1066,965,1456,1250,1220
"ENSMUSG00000003166",1083,929,1023,1936.61,1681.01,1703.16
"ENSMUSG00000003184",257,177,167,585,526,460
"ENSMUSG00000003190",36,28,30,64,67,66
"ENSMUSG00000003198",23,28.02,35.31,82.43,79.67,71
"ENSMUSG00000003199",1856,1817,2046,721,908,749
"ENSMUSG00000003200",1323,1536,1385,1051,1064,964
"ENSMUSG00000003206",1195,1197,1339,530,477,387
"ENSMUSG00000003208",348,332,352,186,197,185
"ENSMUSG00000003226",1234,1417,1072,4185,2515,4026
"ENSMUSG00000003227",0,0,0,0,0,0
"ENSMUSG00000003228",223,191,211,317,400,331
"ENSMUSG00000003233",468,451,411,719,650,630
"ENSMUSG00000003234",1818,2047,1870,1194,1096,1130
"ENSMUSG00000003235",2275,2226,2055,2220,2431,2178
"ENSMUSG00000003269",2310.94,2614.73,2487.91,2198.97,2038.69,1906.98
"ENSMUSG00000003271",35,26,28,27,37,24
"ENSMUSG00000003273",80,49,85,69,70,53
"ENSMUSG00000003279",10,13,13,10,13,15
"ENSMUSG00000003282",130,98,84,154,122,176
"ENSMUSG00000003283",306,180,282,84,120,105
"ENSMUSG00000003299",2410,2451,2684,1127,1302,1016
"ENSMUSG00000003308",1399,1117,1184,1530,1680,1450
"ENSMUSG00000003309",7,4,1,5,9,4
"ENSMUSG00000003316",9141,6808,7386,12308,14663,14632
"ENSMUSG00000003341",7,9,11,6,12,8
"ENSMUSG00000003344",1453,1445,1528,1399,1778,1443
"ENSMUSG00000003345",3252,3563,3293,2566,3171,2432
"ENSMUSG00000003346",1533,1439,1565,1232,1392,988
"ENSMUSG00000003348",706,709,735,381,479,369
"ENSMUSG00000003352",516,486,502,295,400,317
"ENSMUSG00000003354",3,2,1,2,4,1
"ENSMUSG00000003355",88,418,107,634,198,326
"ENSMUSG00000003360",2513,1931,2699,2057,2176,2022
"ENSMUSG00000003363",4723,4040,5647,1780,2583,1909
"ENSMUSG00000003378",144,134,119,284,485,374
"ENSMUSG00000003379",2,8,4,15,13,6
"ENSMUSG00000003380",7853,12423,9934,8160,6490,5743
"ENSMUSG00000003382",4378,2631.87,3384,2088,2268,2415
"ENSMUSG00000003402",5595,9184,6003,7537,7659,6418
"ENSMUSG00000003410",0,0,0,7,10,9
"ENSMUSG00000003411",2,1,2,0,1,0
"ENSMUSG00000003418",0,0,0,0,1,0
"ENSMUSG00000003420",1099,876,1250,564,1009,782
"ENSMUSG00000003421",875,919,832,781,738,657
"ENSMUSG00000003423",536,723.46,599.37,931.68,886,754.66
"ENSMUSG00000003429",47832.93,55570.99,54026.97,33033.99,29355.01,26931.98
"ENSMUSG00000003435",3253,4329,2912,3666,3105,3014
"ENSMUSG00000003436",0,0,1,1,2,0
"ENSMUSG00000003437",849,599,797,907,1087,910
"ENSMUSG00000003438",296,372,410,554,403,394
"ENSMUSG00000003444",622,527,772,374,396,304
"ENSMUSG00000003452",2,2,1,31,19,23
"ENSMUSG00000003458",1774,1952,1422,2547.3,2863,2616
"ENSMUSG00000003464",1229,953,1284,1070,1158,1079
"ENSMUSG00000003469",3,2,7,3,4,2
"ENSMUSG00000003476",1,1,0,0,0,0
"ENSMUSG00000003477",0,0,0,0,0,0
"ENSMUSG00000003484",1,0,0,5,17,11
"ENSMUSG00000003500",4579,4967,4019,5994,6305,5515
"ENSMUSG00000003505",0,0,0,4,6,4
"ENSMUSG00000003518",3511,2359,3014,2408,3330,2961
"ENSMUSG00000003526",3,1,3,7,20,6
"ENSMUSG00000003527",526,570,492,460,482,387
"ENSMUSG00000003528",3625,2433,4083,945,1317,1048
"ENSMUSG00000003531",679,697,886,601,653,569
"ENSMUSG00000003534",59,48,52,177,192,179
"ENSMUSG00000003541",16438,22336,16645,11586,12058,10748
"ENSMUSG00000003545",7226,3926,9186,266,413,364
"ENSMUSG00000003546",1623,1415,1765,481,976,661
"ENSMUSG00000003549",476,665,556,2734,1957,1936
"ENSMUSG00000003555",0,0,1,1,0,0
"ENSMUSG00000003559",270,211,229,332,337,323
"ENSMUSG00000003573",262.99,229.15,256.07,391.6,391.33,322.31
"ENSMUSG00000003575",208,204,180,306,280,287
"ENSMUSG00000003581",140,140,161,256,295,238
"ENSMUSG00000003585",81,62,82,155,225,197
"ENSMUSG00000003604",259.67,253.04,254,287.89,298.25,287.02
"ENSMUSG00000003617",3,25,4,623,181,351
"ENSMUSG00000003623",500,296,428,1178,1351,1352
"ENSMUSG00000003644",2032,1551,1953,1366,1767,1473
"ENSMUSG00000003657",0,0,0,0,0,0
"ENSMUSG00000003660",3872,3583,3127,4904,4680,4785
"ENSMUSG00000003662",656,696,691,847,787,781
"ENSMUSG00000003665",1,0,0,4,3,2
"ENSMUSG00000003680",387,434,406,770,635,607
"ENSMUSG00000003721",881,897,770,2048,1800,2019
"ENSMUSG00000003731",1944,1642,1775,2111,1808,2032
"ENSMUSG00000003746",1269,948,936,1739,1959,2041
"ENSMUSG00000003752",752.55,828,1085.01,176.75,254.18,190.42
"ENSMUSG00000003762",490,537,514,253,363,284
"ENSMUSG00000003778",642.96,673.99,532.02,813.58,814,799
"ENSMUSG00000003779",64.14,104.03,95.41,48.55,65.73,62.39
"ENSMUSG00000003808",1267,1236,1333,1355,1242,1198
"ENSMUSG00000003809",30,44,50,161,134,146
"ENSMUSG00000003810",488,577,496,1235,1174,1096
"ENSMUSG00000003812",1455,919,1925,544,861,631
"ENSMUSG00000003813",771.39,864.43,617.63,1243.19,1258.34,1016.2
"ENSMUSG00000003814",63950,90938,73306,75799,35097,46432
"ENSMUSG00000003824",758,546,808,934,907,845
"ENSMUSG00000003847",3521,2295,2953,6188,5992,8104
"ENSMUSG00000003848",3901,3181,4215,896,1201,1042
"ENSMUSG00000003849",2,2,2,22,12,10
"ENSMUSG00000003863",243,177,292,91,162,118
"ENSMUSG00000003865",10633.28,7567.02,8932.85,11812.02,13967.66,12085.05
"ENSMUSG00000003868",2601.72,2546.98,2411.15,2379.98,2375.34,2085.95
"ENSMUSG00000003872",13,13,18,1,11,4
"ENSMUSG00000003873",6573.57,7169.76,7183.5,4096.55,4333.58,3736.71
"ENSMUSG00000003882",66,55,58,171,195,188
"ENSMUSG00000003923",204,175,184,626,587,598
"ENSMUSG00000003929",81,72,87,213,167,232
"ENSMUSG00000003934",0,1,0,4,9,13
"ENSMUSG00000003948",629.86,583.94,535.94,1767.64,1988.93,1923.54
"ENSMUSG00000003949",0,1,0,3,1,3
"ENSMUSG00000003955",9143,9500,7449,16847,14861,13986
"ENSMUSG00000003970",63506,67474,73337,28797,31806,25818
"ENSMUSG00000003974",0,0,0,1,0,2
"ENSMUSG00000003992",6,3,1,9,8,8
"ENSMUSG00000004018",82.02,108.74,111.87,216.17,158.22,194.36
"ENSMUSG00000004031",0,0,0,0,0,0
"ENSMUSG00000004032",4,4,4,11,8,11
"ENSMUSG00000004035",0,0,0,0,0,0
"ENSMUSG00000004038",0,0,0,0,0,0
"ENSMUSG00000004040",3754,3271,3167,2464,2905,2719
"ENSMUSG00000004043",309.48,176.03,268.62,132.99,218.73,196.04
"ENSMUSG00000004044",6,4,2,29,24,33
"ENSMUSG00000004054",863,878,865,933,1042,838
"ENSMUSG00000004056",3110,3799,3610,2448,2384.9,2267
"ENSMUSG00000004069",2354,3380,2110,2324,1575,1796
"ENSMUSG00000004070",1933.56,2394.27,1920.82,1690.98,1559.81,1553.37
"ENSMUSG00000004071",682.38,782.23,706.82,660.41,669.07,661.72
"ENSMUSG00000004085",2824,1641.83,2419,2009,2659.01,2561.01
"ENSMUSG00000004096",1521,1813,1531,1722,1472,1449
"ENSMUSG00000004098",3,4,3,10,13,6
"ENSMUSG00000004099",2779,1539,2468,991,1875,1582
"ENSMUSG00000004100",1870,2325,2182,819,903,717
"ENSMUSG00000004105",6385,2466,5113,2754,8013,5861
"ENSMUSG00000004110",0,0,1.77,0.33,2.45,1.01
"ENSMUSG00000004113",49,27,47,83,94,87
"ENSMUSG00000004127",251,248.58,237,366,290.89,355
"ENSMUSG00000004151",1509,1403,1227,2763,3414,3681
"ENSMUSG00000004187",24,41,32.06,80.1,118,112.1
"ENSMUSG00000004207",48891,43570,49798,51163,66489,55011
"ENSMUSG00000004221",1749.98,1449.01,1171.97,4661.06,3548,4160.05
"ENSMUSG00000004231",0,0,0,0,0,0
"ENSMUSG00000004233",317,254.84,287.72,402,409,378
"ENSMUSG00000004263",2217,2118,2256.96,2313.09,2728,2128.98
"ENSMUSG00000004264",7073,6436,8377,2905,3381,2791
"ENSMUSG00000004266",6642,4494,5862,1228,2867,1986
"ENSMUSG00000004267",21114,28067,22806,19463,15306,15946
"ENSMUSG00000004268",1895,1915,2192,2244,1884,1975
"ENSMUSG00000004270",919,551,821,1084,1510,1312
"ENSMUSG00000004285",5078,5114,5489,3726,4266,3581
"ENSMUSG00000004296",0,0,0,1,0,0
"ENSMUSG00000004317",295,204,177,840,650,799
"ENSMUSG00000004319",2767,2299,1593,8291,7290,9027
"ENSMUSG00000004328",241,174,180,160,241,207
"ENSMUSG00000004341",0,0,0,0,0,0
"ENSMUSG00000004344",0,0,0,0,0,0
"ENSMUSG00000004347",2,0,0,2,3,1
"ENSMUSG00000004356",130,118,110,554,458,506
"ENSMUSG00000004359",0.76,0,0.46,2,3.71,0.94
"ENSMUSG00000004360",0,0,0,0,0,0
"ENSMUSG00000004364",1945,1725,1917,3243,2979,3420
"ENSMUSG00000004366",0,0,0,1,1,0
"ENSMUSG00000004371",1,3,4,4,22,15
"ENSMUSG00000004383",0,0,0,0,0,0
"ENSMUSG00000004393",588,541,695,508,454,444
"ENSMUSG00000004394",2032,1762,1847,3304,2954,3042
"ENSMUSG00000004415",0,0,0,0,0,1
"ENSMUSG00000004446",407,282,398,419,372,336
"ENSMUSG00000004451",4792,3914,4140,3957,4650,4300
"ENSMUSG00000004455",2948.76,2644.98,2336.68,4262.86,4480.18,4277.09
"ENSMUSG00000004460",3933,5820,3048,6982,3646,4586
"ENSMUSG00000004462",205,131,151,370,289,327
"ENSMUSG00000004473",58,45,83,72,79,77
"ENSMUSG00000004500",95,68,64,187,134,162
"ENSMUSG00000004508",3298,3002,2625,1255,1650,1559
"ENSMUSG00000004530",2490,1876.99,2346.66,2224,3087,2589.71
"ENSMUSG00000004535",1468,1673,1324,4668,4177,4775
"ENSMUSG00000004540",0,0,0,0,5,1
"ENSMUSG00000004542",0,0,0,0,0,0
"ENSMUSG00000004552",12,10,9,13,21,17
"ENSMUSG00000004558",13888,11749,12529,12988,18289,15110
"ENSMUSG00000004561",127,162,131,220,216,204
"ENSMUSG00000004562",395.12,250,329,738.19,921.11,785
"ENSMUSG00000004565",1026,701,947,1161,1417,1146
"ENSMUSG00000004567",772,893,673,1507,1293,1209
"ENSMUSG00000004568",182,154,144,255,279,238
"ENSMUSG00000004591",775,809,787,1142,859,995
"ENSMUSG00000004609",253,96,211,169,746,656
"ENSMUSG00000004610",1170.61,1263,1376,784,933,711
"ENSMUSG00000004612",0,0,0,0,0,0
"ENSMUSG00000004626",3170.55,2934.07,2981.93,2032.17,2555.72,2058.06
"ENSMUSG00000004630",1,1.36,0,0,1.67,0
"ENSMUSG00000004631",0,0,0,0,0,1
"ENSMUSG00000004633",0,0,0,0,0,0
"ENSMUSG00000004637",566,579,526,269,354,306
"ENSMUSG00000004642",168.79,194.32,152.83,716.14,543.94,638.13
"ENSMUSG00000004651",50.83,111.48,111.58,50.78,40.65,31.19
"ENSMUSG00000004654",0,0,0,0,0,1
"ENSMUSG00000004655",48,39,49,23,41,30
"ENSMUSG00000004661",87,78,93,190,198,202
"ENSMUSG00000004665",177,175,207,123,170,135
"ENSMUSG00000004667",2923,3169,3711,1606,1837,1495
"ENSMUSG00000004668",1,1,0,11,7,8
"ENSMUSG00000004677",3284,2626,2563,4023,5040,4468
"ENSMUSG00000004698",2096,1301,1551,1094,1104,1354
"ENSMUSG00000004707",243,232,176,547,525,535
"ENSMUSG00000004709",2,0,2,6,25,4
"ENSMUSG00000004730",1224,746,955,497,1258,1036
"ENSMUSG00000004748",17,13,17,15,13,13
"ENSMUSG00000004768",31,24,14,180,130,162
"ENSMUSG00000004771",3289.12,3326,2856.32,5720,5467,5527
"ENSMUSG00000004788",2734,4740,3138,2493,1884,1853
"ENSMUSG00000004789",4572,4087,4086,3458,3651,3535
"ENSMUSG00000004791",704,1274,832,2007,1662,1665
"ENSMUSG00000004798",563,540,465,1407,1260,1455
"ENSMUSG00000004814",0,0,2,6,8,7
"ENSMUSG00000004815",255.64,234.1,256.32,471.84,510.13,503.23
"ENSMUSG00000004821",0,0,0,0,0,0
"ENSMUSG00000004837",495,454,517,192,268,221
"ENSMUSG00000004842",0,0,0,2,2,2.01
"ENSMUSG00000004843",1198,1086,1117,1335,1176,1346
"ENSMUSG00000004846",9245.82,8080.73,10532.58,5916.65,9185.05,7099.63
"ENSMUSG00000004849",4162,4032,4343,4230,4614,3935
"ENSMUSG00000004864",5,7,11,8,10,12
"ENSMUSG00000004865",1402.02,1449.01,1069,2403.82,1995,2244.01
"ENSMUSG00000004872",93,90,101,99,96,144
"ENSMUSG00000004880",450,338,414,1088,760,974
"ENSMUSG00000004885",6,9,6,12,16,12
"ENSMUSG00000004891",23,12,10,66,90,76
"ENSMUSG00000004892",1,0,0,0,1,1
"ENSMUSG00000004894",0,0,0,0,0,0
"ENSMUSG00000004895",2166,2485,2287,2232,2044,1819
"ENSMUSG00000004896",255.88,259.08,257.24,427.57,500.76,446.12
"ENSMUSG00000004897",6361,5673,6711,5406,5470,4873
"ENSMUSG00000004902",2,2,0,1,3,4
"ENSMUSG00000004929",664,569,895,356,340,304
"ENSMUSG00000004931",1290,1543,1187,1412,1263,1130
"ENSMUSG00000004933",39,25,17,23,68,36
"ENSMUSG00000004934",942,995,1042,746,881,667
"ENSMUSG00000004936",10636,9224,8191,21306,18970,19777
"ENSMUSG00000004937",1585,1591,1676,1735,1851,1575
"ENSMUSG00000004939",2,1,2,1,4,4
"ENSMUSG00000004945",1490,1395,1549,1680,1705,1456
"ENSMUSG00000004947",380,327,395,593,567,494
"ENSMUSG00000004948",2,1,2,4,3,4
"ENSMUSG00000004951",1,0,0,73,111,60.95
"ENSMUSG00000004952",3643,3950,3939,1403,2120,1627
"ENSMUSG00000004961",49,35,52,55,55,44
"ENSMUSG00000004980",2110,1776,1856,9922,9770,10368
"ENSMUSG00000004988",7,2,12,5,11,8
"ENSMUSG00000004994",198,288,158,337,273,261
"ENSMUSG00000004996",571,456,675,132,214,150
"ENSMUSG00000005034",1372,1194,1141,2007,1683,1995
"ENSMUSG00000005043",801.2,477.84,625,1231.19,2069.72,1611.93
"ENSMUSG00000005045",175,204,124,313,520,448
"ENSMUSG00000005054",3736,4716,4014,2760,2765,2562
"ENSMUSG00000005057",1623,1052,1722,487,1237,805
"ENSMUSG00000005069",1838,1291,1842,934,1102,978
"ENSMUSG00000005078",527,463,487,1069,1067,1109
"ENSMUSG00000005087",9042,10116,8619,8419,11575,11667
"ENSMUSG00000005089",0,1,0,0,5,2
"ENSMUSG00000005102",567,403,474,594,693,700
"ENSMUSG00000005103",3063,3023,2728,5858,5158,5279
"ENSMUSG00000005107",622,598,524,915,1301,1153
"ENSMUSG00000005124",11,1,11,10,22,17
"ENSMUSG00000005125",185743.95,225399.86,186921.92,98383.95,101332.93,95580.97
"ENSMUSG00000005131",4,1,0,2,4,3
"ENSMUSG00000005142",972,804,886,861,1409,1164
"ENSMUSG00000005148",0,0,0,1,2,0
"ENSMUSG00000005150",235,229,258.3,191,195,179.31
"ENSMUSG00000005161",9959.99,10253,11526,2903.99,3521,3162
"ENSMUSG00000005198",4597,4364,4080,6142,6786,6148
"ENSMUSG00000005202",1,4,4,2,0,0
"ENSMUSG00000005204",2728,2423,2955,1932.99,2100,1833
"ENSMUSG00000005220",0,0,0,0,1,2
"ENSMUSG00000005225",1482.85,1075.89,1308.6,1406.88,1675.94,1617.88
"ENSMUSG00000005232",0,0,0,0,0,0
"ENSMUSG00000005233",10,18,19,25,25,37
"ENSMUSG00000005237",2,0,1,2,6,5
"ENSMUSG00000005251",0,0,0,0,0,0
"ENSMUSG00000005262",735,972,619,1538,1150,1160
"ENSMUSG00000005267",44.35,47.81,46.25,87.83,127.79,132.53
"ENSMUSG00000005268",0,0,0,0,0,0
"ENSMUSG00000005299",722,703,671,1215,1356,1126
"ENSMUSG00000005312",3384,3559,2926,4212,3875,4059
"ENSMUSG00000005320",0,0,0,0,1,2
"ENSMUSG00000005338",0,0,0,0,0,0
"ENSMUSG00000005339",0,0,0,0,0,0
"ENSMUSG00000005354",3909,5136,4421,2515,2222,2029
"ENSMUSG00000005355",0,0,0,0,0,0
"ENSMUSG00000005357",0,0,0,0,0,0
"ENSMUSG00000005360",0,0,0,0,0,0
"ENSMUSG00000005362",1093,1021.55,1005.63,961,1081.67,1054.64
"ENSMUSG00000005364",0,0,0,0,1,0
"ENSMUSG00000005370",1691,1056,1274,1634,2013,1947
"ENSMUSG00000005371",893,770,793,1652,1444,1760
"ENSMUSG00000005373",0,0,0,0,0,3
"ENSMUSG00000005374",2283.2,2148.68,1697.36,3708.93,3274.63,3439.08
"ENSMUSG00000005378",327.4,301.55,319.46,548.41,547.84,486
"ENSMUSG00000005397",0,1,0,0,1,1
"ENSMUSG00000005410",275,335,395,81,144,103
"ENSMUSG00000005413",83804,86138,80245,71453,78759,71594
"ENSMUSG00000005417",3210.58,2902.92,2785.55,3862.83,4651,4030.68
"ENSMUSG00000005442",8676,8678,8718,7899,9591,8259
"ENSMUSG00000005447",1749,2010,1871,1501,1530,1319
"ENSMUSG00000005465",6,8,9,10,8,7
"ENSMUSG00000005469",2196,2049,2008,1901,2150,1866
"ENSMUSG00000005470",48,60,55,83,78,73
"ENSMUSG00000005474",0,0,0,0,0,0
"ENSMUSG00000005481",589,607.18,549.26,645.36,728.36,651.35
"ENSMUSG00000005483",2058,2404,2043,1555,2264,1857
"ENSMUSG00000005493",0,0,0,2,2,1
"ENSMUSG00000005501",233.01,121,159,635,627.46,675
"ENSMUSG00000005503",0,0,0,0,0,0
"ENSMUSG00000005505",303,268,296,686,644,606
"ENSMUSG00000005506",1600,1261,1394,2763,2511,2977
"ENSMUSG00000005510",2284,2138,2272,1831,1812,1727
"ENSMUSG00000005514",7017,6003,7570,4642,6439,4993
"ENSMUSG00000005533",0,0,0,3,2,4
"ENSMUSG00000005534",1049,841,961,1714,1545,1924
"ENSMUSG00000005540",1,0.96,0,1,2,3
"ENSMUSG00000005547",0,0,0,0,0,0
"ENSMUSG00000005553",1,1,0,0,1,1
"ENSMUSG00000005566",5828,5590,5883,4657,4570,4145
"ENSMUSG00000005575",2290,2643,2650,2369,2084,1890
"ENSMUSG00000005580",999,477,850,252,394,387
"ENSMUSG00000005583",2589,1352,2146,1159,1621,1735
"ENSMUSG00000005609",461,311,362,991,1042,1054
"ENSMUSG00000005610",11621,10351.01,9881.25,21885.06,15971.13,19833
"ENSMUSG00000005611",0,1,0,1,6,2
"ENSMUSG00000005615",1175,957.84,999.58,660,731.51,771.48
"ENSMUSG00000005621",702,693,777,675,681,641
"ENSMUSG00000005625",8174,9955,8288,5244,5601,4806
"ENSMUSG00000005628",1,1,1,10,14,14
"ENSMUSG00000005640",39,10,30,27,49,51
"ENSMUSG00000005649",0,0,0,0,0,1
"ENSMUSG00000005656",1241,1150,949,2906,2635,2827
"ENSMUSG00000005667",1139,3292,942,2896,705,1418
"ENSMUSG00000005672",0,0,0,0,0,0
"ENSMUSG00000005674",375.8,280,400,176,224,186.77
"ENSMUSG00000005677",1.2,0,0,0,1,1.23
"ENSMUSG00000005681",8,4,4,7,4,5
"ENSMUSG00000005682",354,315,303,429,455,409
"ENSMUSG00000005683",13725,12931,13909,6838,6812,6576
"ENSMUSG00000005686",1223.48,922.87,945.75,2501.79,2453.56,2422.77
"ENSMUSG00000005687",1962.04,2350.08,1910.78,2358.06,1958.99,1926.04
"ENSMUSG00000005696",0,0,0,0,0,0
"ENSMUSG00000005698",463,388,409,1163,980,1176
"ENSMUSG00000005699",372,812,446,331,284,228
"ENSMUSG00000005705",9,15,14,7,7,4
"ENSMUSG00000005716",0,0,1,0,0,0
"ENSMUSG00000005718",278,281,278,225,277,240
"ENSMUSG00000005732",437,513,330,1068,956,942.78
"ENSMUSG00000005763",2.01,0,2,5.15,7.03,0.12
"ENSMUSG00000005774",393,213,346,346,418,431
"ENSMUSG00000005779",5751,6757,6116,5930,5441,5040
"ENSMUSG00000005800",0,0,0,0,5,1
"ENSMUSG00000005802",652,532,569,2702,1922,2645
"ENSMUSG00000005803",288,364,247,950,827,886
"ENSMUSG00000005804",3333,2980,2770,2889,3040,3025
"ENSMUSG00000005813",1331,1301,1226,1276,1342,1262
"ENSMUSG00000005823",1324,1680,1242,2281,1889,1899
"ENSMUSG00000005824",0,0,2,1,2,5
"ENSMUSG00000005836",1,0,0,1,0,0
"ENSMUSG00000005846",2316,2424,2220,2674,2368,2653
"ENSMUSG00000005864",1,0,0,0,2,0
"ENSMUSG00000005871",332,285,276,1158,924,1130
"ENSMUSG00000005873",2286,3221,2789,2261,1929,1774
"ENSMUSG00000005881",5280,5048,6056,4092,5011,4195
"ENSMUSG00000005882",372,335,359,451,401,429
"ENSMUSG00000005883",0,0,0,0,0,0
"ENSMUSG00000005886",731,555,579,1642,1360,1648
"ENSMUSG00000005891",0,0,0,0,0,0
"ENSMUSG00000005892",0,0,0,1,0,0
"ENSMUSG00000005893",305.96,229.66,192.38,450.85,412.73,553.04
"ENSMUSG00000005897",264,209,181,370,377,354
"ENSMUSG00000005899",249,255,270,487,475,461
"ENSMUSG00000005907",414.72,270.24,363.46,338.32,443.03,448.43
"ENSMUSG00000005917",8,5,5,11,12,12
"ENSMUSG00000005936",1331,1204,1200,1144,1276,1146
"ENSMUSG00000005947",6,3,0,4,10,13
"ENSMUSG00000005949",267,175,216,263,274,297
"ENSMUSG00000005950",3,4,2,3,4,5
"ENSMUSG00000005951",179,179,189,36,78,57
"ENSMUSG00000005952",0,0,1,0,0,1
"ENSMUSG00000005958",0,0,0,0,0,1
"ENSMUSG00000005968",236,200.54,260.59,216.65,262.92,262.73
"ENSMUSG00000005973",720,628,563,1167,928,1031
"ENSMUSG00000005980",0,0,0,0,2,1
"ENSMUSG00000005981",1401,1051,1280,1296,1523,1448
"ENSMUSG00000005982",1292.37,1236.65,1307.71,923.02,1145.33,1026.07
"ENSMUSG00000005983",47.6,65.16,54.45,47.34,58.62,60.02
"ENSMUSG00000005986",96,96,106,124,193,146
"ENSMUSG00000005994",0,0,0,0,0,0
"ENSMUSG00000006005",804.99,915,902.91,2741.95,2471.97,2765.96
"ENSMUSG00000006007",0,0,0,1,0,0
"ENSMUSG00000006010",417,558,392,1407,1095,1387
"ENSMUSG00000006014",1.01,0,3.09,8.05,4.03,7.04
"ENSMUSG00000006019",9447,9979,9552,4104,6494,4562
"ENSMUSG00000006021",118,106,112,112,138,114
"ENSMUSG00000006024",3645,5232,3732,3745,4006,3524
"ENSMUSG00000006050",4723.53,6265.38,5004.46,4007.97,3483.06,3445.1
"ENSMUSG00000006056",0,0,0,0,0,0
"ENSMUSG00000006057",1308.25,2134.87,1553.2,1611.68,1142.36,1150.31
"ENSMUSG00000006058",753,968,810,1133,1046,944
"ENSMUSG00000006095",1153.49,1591.58,1298.47,1130.44,823.84,766.96
"ENSMUSG00000006127",1078,734,917,572,948,907
"ENSMUSG00000006134",1502,1220,1185,1540,1420,1530
"ENSMUSG00000006143",0,0,0,0,1,1
"ENSMUSG00000006154",3,1,3,1,0,0
"ENSMUSG00000006169",2676,2634,2280,2468,2063,2338
"ENSMUSG00000006179",33,39,33,82,61,68
"ENSMUSG00000006191",116.19,87.23,78.45,255,207.92,217
"ENSMUSG00000006200",0,0,0,0,0,0
"ENSMUSG00000006204",0,0,0,1,1,0
"ENSMUSG00000006205",0,4,1,7,12,15
"ENSMUSG00000006215",1991,1817,2310,704,974,790
"ENSMUSG00000006216",52,66,54,5,51,49
"ENSMUSG00000006218",0,0,0,0,0,2
"ENSMUSG00000006219",1260,1209,1151,1434,1777,1577
"ENSMUSG00000006221",2313,1786,1944,997,1843,1395
"ENSMUSG00000006235",26,24,25,40,71,55
"ENSMUSG00000006241",95,88,90,112,108,88
"ENSMUSG00000006262",411,335,369,896,580,837
"ENSMUSG00000006269",0,0,0,2,0,2
"ENSMUSG00000006270",0,0,0,0,0,0
